Scientific Name,Common Names,Location
Acer ,Japanese Maple,Japanese maples
Acer ,Maple,Shade and Ornamental Trees
Achillea,Yarrow,Sun Perennials
Aconitum,Monkshood,Sun Perennials
Aesculus,Buckeye,Shade and Ornamental Trees
Agastache,Anise Hyssop,Sun Perennials
Ageratum,Floss Flower,Annuals
Alcea,Hollyhock,Sun Perennials
Alchemilla,Lady’s Mantle,Shade Perennials
allium,Ornamental Onion,Sun Perennials
Almsonia,Blue Star,Sun Perennials
Amelanchier,Serviceberry,Flowering Trees
Amelanchier,Serviceberry,Shade and Ornamental Trees
Anemone,Windflower,Shade Perennials
Angelonia,Summer Snapdragon,Annuals
Aronia,Chokeberry,Shrubs
Artemisia,Wormwood,Sun Perennials
Asclepias,Milkweed,Sun Perennials
Asparagus,Asparagus Fern,Annuals
Aster,Aster,Sun Perennials
Astilbe,False Spirea,Shade Perennials
Azalea,Azalea,Shade Perennials
Baptisia,False Indigo,Sun Perennials
Begonia,Begonia,Annuals
Betula,Birch,Shade and Ornamental Trees
boxus,Boxwood,Boxwoods
Brunnera,Siberian Bugloss,Shade Perennials
Buddleia,Butterfly Bush,Shrubs
Caladium,Caladium,Annuals
Calamagrostis,Feather Reed Grass,Sun Perennials
Calamintha,Calamint,Sun Perennials
Callicarpa,Beautyberry,Shrubs
Campanula,Bellflower,Sun Perennials
campsis,Trumpet Vine,Sun Perennials
Canna Lily,Canna Lily,Annuals
Careopsis,Tickseed,Sun Perennials
Carex,Sedge,Shade Perennials
Carex,Sedge,Sun Perennials
carpinus,Hornbeam,Flowering Trees
Carpinus,Hornbeam,Shade and Ornamental Trees
Caryopteris,Bluebeard,Shrubs
Cedrus,Cedar,Evergreens
Cercis,Redbud,Flowering Trees
Cercis,Redbud,Shade and Ornamental Trees
Chamaecyparis,False Cypress,Evergreens
Chelone,Turtlehead,Sun Perennials
Cleome,Spider Flower,Annuals
Clethra Alnifolia,Summersweet,Shrubs
Coleus,Coleus,Annuals
Cornus,Dogwood,Flowering Trees
Cornus,Dogwood,Shrubs
Cotinus,Smoke Bush,Shrubs
Crocosmia,Montbretia,Sun Perennials
Croton,Croton,Annuals
Cuphea,Cigar Plant,Annuals
cyperus,Umbrella Sedge,Annuals
Dahlia,Dahlia,Annuals
Deutzia,Deutzia,Shrubs
Dianthus,Pinks,Sun Perennials
Dicentra,Bleeding Heart,Shade Perennials
Dichondra,Dichondra,Annuals
Diervilla,Bush Honeysuckle,Shrubs
Digitalis,Foxglove,Sun Perennials
Dipladenia,Dipladenia,Annuals
Echinacea,Coneflower,Sun Perennials
Echniops,Globe Thistle,Sun Perennials
Eunymus,Euonymus,Shrubs
Eupatorium,Joe Pye Weed,Sun Perennials
Fagus,Beech,Shade and Ornamental Trees
Fern,Fern,Shade Perennials
Forsythia,Forsythia,Shrubs
Fothergilla,Fothergilla,Shrubs
Gallum,Bedstraw,Sun Perennials
Gaura,Wandflower,Annuals
Gazania,Treasure Flower,Annuals
Geranium,Cranesbill,Sun Perennials
gerbera,Gerbera Daisy,Annuals
Geum,Avens,Sun Perennials
gleditsia,Honey Locust,Shade and Ornamental Trees
Hakonechloa,Japanese Forest Grass,Shade Perennials
Hedera,Ivy,Annuals
Helianthus,Sunflower,Sun Perennials
Helichrysum,Strawflower,Annuals
Heliopsis,False Sunflower,Sun Perennials
Helleborus,Lenten Rose,Shade Perennials
hemerocallis,Daylily,Sun Perennials
Hibiscus,Hibiscus,Shrubs
Hosta,Plantain Lily,Shade Perennials
Hpatacodium,Seven-Son Flower,Flowering Trees
Huechera,Coral Bells,Shade Perennials
hydrangea,Hydrangea,Flowering Trees
hydrangea,Hydrangea,Shrubs
hypericum,St. John’s Wort,Shrubs
Hypoestes,Polka Dot Plant,Annuals
Ilex,Holly,Shrubs
Ilex,Holly,Evergreens
Impatients,Impatiens,Annuals
Imperata,Japanese Blood Grass,Sun Perennials
Ipomoea,Morning Glory,Annuals
Iris,Iris,Sun Perennials
Iris,Iris,Sun Perennials
